TRACK,SOURCE,GLOBAL KEY,BEATPORT KEY,SUBGENRE,AUDIO LINK,ARTIST,TRACK
10089,endo_b,D major,D major,breaks,http://geo-samples.beatport.com/lofi/10089.LOFI.mp3,Jason Sparks,Close My Eyes
61415,forum,F minor,F major,trance,http://geo-samples.beatport.com/lofi/61415.LOFI.mp3,,
74982,forum,C minor,A minor,trance,http://geo-samples.beatport.com/lofi/74982.LOFI.mp3,,
101069,forum,E minor,A major,electro-house,http://geo-samples.beatport.com/lofi/101069.LOFI.mp3,,
190477,forum,D minor,D major,breaks,http://geo-samples.beatport.com/lofi/190477.LOFI.mp3,,
191347,endo_a forum,Eb minor,Bb minor,house,http://geo-samples.beatport.com/lofi/191347.LOFI.mp3,Schatrax,Mispent Years (Silicone Soul Darkroom Dub)
203493,forum,G minor,D minor,progressive-house,http://geo-samples.beatport.com/lofi/203493.LOFI.mp3,,
205597,endo_a,G minor,G minor,house,http://geo-samples.beatport.com/lofi/205597.LOFI.mp3,Roger Sanchez,Lost (Original Mix)
208158,forum,E minor,D major,trance,http://geo-samples.beatport.com/lofi/208158.LOFI.mp3,,
209206,forum,G major,A minor,trance,http://geo-samples.beatport.com/lofi/209206.LOFI.mp3,,
272788,endo_b,Bb major,Bb major,progressive-house,http://geo-samples.beatport.com/lofi/272788.LOFI.mp3,16 Bit Lolitas,Non Verbal Language (Original Mix)
305771,forum,C minor,C major,tech-house,http://geo-samples.beatport.com/lofi/305771.LOFI.mp3,,
341832,forum,G major,D major,progressive-house,http://geo-samples.beatport.com/lofi/341832.LOFI.mp3,,
376240,forum,F minor,F major,trance,http://geo-samples.beatport.com/lofi/376240.LOFI.mp3,,
398124,endo_b,D major,D major,progressive-house,http://geo-samples.beatport.com/lofi/398124.LOFI.mp3,Hybrid,Finished Symphony (Deadmau5 Remix)
400259,forum,G minor,F major,drum-and-bass,http://geo-samples.beatport.com/lofi/400259.LOFI.mp3,,
423054,forum,D minor,A minor,progressive-house,http://geo-samples.beatport.com/lofi/423054.LOFI.mp3,,
435443,endo_a,E minor,E major,progressive-house,http://geo-samples.beatport.com/lofi/435443.LOFI.mp3,Dubfire,I Feel Speed (Original Club Mix)
472626,forum,G minor,A minor,house,http://geo-samples.beatport.com/lofi/472626.LOFI.mp3,,
495905,endo_b,Bb minor,Bb minor,drum-and-bass,http://geo-samples.beatport.com/lofi/495905.LOFI.mp3,Metrik,Your World - Original Mix
511348,forum,E minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/511348.LOFI.mp3,,
571009,forum,F minor,C minor,progressive-house,http://geo-samples.beatport.com/lofi/571009.LOFI.mp3,,
582991,forum,G minor,C minor,electro-house,http://geo-samples.beatport.com/lofi/582991.LOFI.mp3,,
611797,endo_b,A major,Db minor,techno,http://geo-samples.beatport.com/lofi/611797.LOFI.mp3,Si Begg,Sunshine 08 - Original Mix
631240,forum,G minor,D minor,minimal,http://geo-samples.beatport.com/lofi/631240.LOFI.mp3,,
631883,forum,C minor,C major,house,http://geo-samples.beatport.com/lofi/631883.LOFI.mp3,,
634032,forum,E minor,A minor,electro-house,http://geo-samples.beatport.com/lofi/634032.LOFI.mp3,,
667508,endo_a,D minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/667508.LOFI.mp3,Stimming,Una Pena (Argy's)
671546,forum,A minor,A major,trance,http://geo-samples.beatport.com/lofi/671546.LOFI.mp3,,
677299,endo_b,Gb major,Gb major,electro-house,http://geo-samples.beatport.com/lofi/677299.LOFI.mp3,Angel Alanis,Cage Me In (Angel Alanis' Tweak Remix)
678406,endo_a forum,E minor,E major,progressive-house,http://geo-samples.beatport.com/lofi/678406.LOFI.mp3,Hybrid,Formula Of Fear (Uberzone Vocal Mix)
682724,endo_b,C major,G major,breaks,http://geo-samples.beatport.com/lofi/682724.LOFI.mp3,UnderThis,Black And White - Original Mix
774871,forum,B major,A major,dubstep,http://geo-samples.beatport.com/lofi/774871.LOFI.mp3,,
774874,forum,B minor,B major,dubstep,http://geo-samples.beatport.com/lofi/774874.LOFI.mp3,,
774875,forum,Gb minor,B minor,dubstep,http://geo-samples.beatport.com/lofi/774875.LOFI.mp3,,
781373,forum,E major,A major,trance,http://geo-samples.beatport.com/lofi/781373.LOFI.mp3,,
781995,endo_b,C major,C major,progressive-house,http://geo-samples.beatport.com/lofi/781995.LOFI.mp3,Bad Boy Bill,Falling Anthem (Bad Boy Bill Extended Mix)
796860,forum,Ab minor,Db minor,techno,http://geo-samples.beatport.com/lofi/796860.LOFI.mp3,,
814290,endo_b,E major,E major,indie-dance nu-disco,http://geo-samples.beatport.com/lofi/814290.LOFI.mp3,Tom Middleton,Light Through The Veins
814505,endo_b,A major,A major,tech-house,http://geo-samples.beatport.com/lofi/814505.LOFI.mp3,Bronnt Industries Kapital @bronnt,Objects & Purpose - M.A.N.D.Y & Booka Shade Remix
822664,endo_b,Bb minor,Bb major,techno,http://geo-samples.beatport.com/lofi/822664.LOFI.mp3,Kevin Saunderson,Rock To The Beat (Smith & Selway @johnselway Remix)
835903,forum,D major,A minor,progressive-house,http://geo-samples.beatport.com/lofi/835903.LOFI.mp3,,
839886,endo_a,D minor,D major,tech-house,http://geo-samples.beatport.com/lofi/839886.LOFI.mp3,Mendo,Trompeta (Original Mix)
846900,endo_b,E major,A major,indie-dance nu-disco,http://geo-samples.beatport.com/lofi/846900.LOFI.mp3,Alex Metric,Head Straight (Original Mix)
847422,endo_a,A minor,A minor,house,http://geo-samples.beatport.com/lofi/847422.LOFI.mp3,Oliver Koletzki,Yes We Can (Original Mix)
853834,endo_b,E major,A minor,tech-house,http://geo-samples.beatport.com/lofi/853834.LOFI.mp3,Module II,Eggbox
873455,forum,E minor,D major,house,http://geo-samples.beatport.com/lofi/873455.LOFI.mp3,,
877345,endo_b,Eb major,Eb major,techno,http://geo-samples.beatport.com/lofi/877345.LOFI.mp3,Dusty Kid,America (Extended Version)
883724,forum,F minor,Bb major,tech-house,http://geo-samples.beatport.com/lofi/883724.LOFI.mp3,,
890568,forum,E minor,B minor,progressive-house,http://geo-samples.beatport.com/lofi/890568.LOFI.mp3,,
891993,endo_b,D major,D major,pop rock,http://geo-samples.beatport.com/lofi/891993.LOFI.mp3,The Temper Trap,Sweet Disposition - Evil Nine Mix
896478,forum,B minor,Gb minor,house,http://geo-samples.beatport.com/lofi/896478.LOFI.mp3,,
903963,endo_b,F major,F major,techno,http://geo-samples.beatport.com/lofi/903963.LOFI.mp3,Freeland @adam_freeland ,Mancry (Gui Boratto Remix)
907837,forum,G minor,D minor,drum-and-bass,http://geo-samples.beatport.com/lofi/907837.LOFI.mp3,,
923397,endo_a,Bb minor,Bb minor,deep-house,http://geo-samples.beatport.com/lofi/923397.LOFI.mp3,M.A.D.,Brainwaves (Dub Mix)
945256,forum,Eb minor,B major,trance,http://geo-samples.beatport.com/lofi/945256.LOFI.mp3,,
973819,forum,F minor,F major,trance,http://geo-samples.beatport.com/lofi/973819.LOFI.mp3,,
975137,forum,C minor,Bb minor,minimal,http://geo-samples.beatport.com/lofi/975137.LOFI.mp3,,
975138,forum,D minor,Eb minor,techno,http://geo-samples.beatport.com/lofi/975138.LOFI.mp3,,
981591,forum,Bb minor,A major,minimal,http://geo-samples.beatport.com/lofi/981591.LOFI.mp3,,
992081,endo_b,E major,E major,techno,http://geo-samples.beatport.com/lofi/992081.LOFI.mp3,Max Cooper,Dischordance 
997308,forum,C major,F major,house,http://geo-samples.beatport.com/lofi/997308.LOFI.mp3,,
1004923,endo_a forum,C minor,F major,tech-house,http://geo-samples.beatport.com/lofi/1004923.LOFI.mp3,Kaiserdisco,Carachillo (Original Mix)
1007941,forum,F minor,Bb major,electro-house,http://geo-samples.beatport.com/lofi/1007941.LOFI.mp3,,
1009960,forum,Eb minor,A minor,minimal,http://geo-samples.beatport.com/lofi/1009960.LOFI.mp3,,
1017921,endo_b,B major,B major,progressive-house,http://geo-samples.beatport.com/lofi/1017921.LOFI.mp3,DJ Rap,Give It All Away (Sultan & Ned Shepard Remix)
1026478,forum,F minor,Gb minor,techno,http://geo-samples.beatport.com/lofi/1026478.LOFI.mp3,,
1033148,endo_a forum,F minor,F major,tech-house,http://geo-samples.beatport.com/lofi/1033148.LOFI.mp3,Carlo Lio,Sammy's Revenge (Original Mix)
1034795,forum,B minor,Gb minor,house,http://geo-samples.beatport.com/lofi/1034795.LOFI.mp3,,
1037507,endo_b,G major,G major,electronica,http://geo-samples.beatport.com/lofi/1037507.LOFI.mp3,Russian Linesman,Hark! The Herald Angels Sing
1041574,endo_b,Ab major,C minor,techno,http://geo-samples.beatport.com/lofi/1041574.LOFI.mp3,Gary Beck,Yah Yah
1043194,forum,Db minor,A minor,house,http://geo-samples.beatport.com/lofi/1043194.LOFI.mp3,,
1052744,forum,G minor,C major,drum-and-bass,http://geo-samples.beatport.com/lofi/1052744.LOFI.mp3,,
1056896,forum,A minor,A major,progressive-house,http://geo-samples.beatport.com/lofi/1056896.LOFI.mp3,,
1074548,forum,A minor,F major,hardcore hard-techno,http://geo-samples.beatport.com/lofi/1074548.LOFI.mp3,,
1075123,forum,F minor,Bb minor,drum-and-bass,http://geo-samples.beatport.com/lofi/1075123.LOFI.mp3,,
1092676,forum,F minor,Ab major,progressive-house,http://geo-samples.beatport.com/lofi/1092676.LOFI.mp3,,
1103512,endo_a forum,Bb minor,Bb major,house,http://geo-samples.beatport.com/lofi/1103512.LOFI.mp3,Tim Deluxe,Freedom (Original Mix)
1105632,endo_a forum,C minor,C major,tech-house,http://geo-samples.beatport.com/lofi/1105632.LOFI.mp3,Butch,Reshef (Gow Remix)
1140027,endo_a,Db minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/1140027.LOFI.mp3,Carlo Lio,In The Zone (Carlo Lio Mix)
1149778,endo_a,Gb minor,Gb minor,tech-house,http://geo-samples.beatport.com/lofi/1149778.LOFI.mp3,Erik Sumo Band,Dream Machine (Ferenc Vaspoeri Remix)
1161234,endo_b endo_a,C major,C major,tech-house,http://geo-samples.beatport.com/lofi/1161234.LOFI.mp3,Lusine,Two Dots - Nic Fanciulli Remix
1161249,endo_a,G minor,G minor,house,http://geo-samples.beatport.com/lofi/1161249.LOFI.mp3,Layo & Bushwacka!,Femme Fatale (Original Mix)
1164898,endo_b,C major,C major,breaks,http://geo-samples.beatport.com/lofi/1164898.LOFI.mp3,Way Out West,The Gift Way Out West's 2010 Remix
1178656,endo_a forum,C minor,G minor,tech-house,http://geo-samples.beatport.com/lofi/1178656.LOFI.mp3,Nelski,Body Pop (Radio Slave Remix feat. Thomas Gandey)
1193612,forum,Gb minor,A major,techno,http://geo-samples.beatport.com/lofi/1193612.LOFI.mp3,,
1194720,endo_a,D minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/1194720.LOFI.mp3,SIS,Lola (Original Mix)
1198688,endo_a,D minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/1198688.LOFI.mp3,Santos,The Selector (Original Mix)
1206025,endo_a forum,A minor,E minor,tech-house,http://geo-samples.beatport.com/lofi/1206025.LOFI.mp3,Oleg Poliakov,Caravan (Original Mix)
1209745,endo_b,Bb major,Bb major,tech-house,http://geo-samples.beatport.com/lofi/1209745.LOFI.mp3,Fromage Disco,Repeight (Jamie Stevens Gold Return Mix) 
1224698,endo_b,G major,G major,progressive-house,http://geo-samples.beatport.com/lofi/1224698.LOFI.mp3,UNKLE ,Heavy Drug -King Unique Rmx 
1234668,forum,G minor,D minor,drum-and-bass,http://geo-samples.beatport.com/lofi/1234668.LOFI.mp3,,
1234669,forum,G minor,Db major,drum-and-bass,http://geo-samples.beatport.com/lofi/1234669.LOFI.mp3,,
1234670,forum,F minor,C minor,drum-and-bass,http://geo-samples.beatport.com/lofi/1234670.LOFI.mp3,,
1234748,forum,G minor,Bb major,trance,http://geo-samples.beatport.com/lofi/1234748.LOFI.mp3,,
1234749,forum,Bb major,F major,trance,http://geo-samples.beatport.com/lofi/1234749.LOFI.mp3,,
1234750,forum,D minor,F major,trance,http://geo-samples.beatport.com/lofi/1234750.LOFI.mp3,,
1234751,forum,Bb major,F major,trance,http://geo-samples.beatport.com/lofi/1234751.LOFI.mp3,,
1234752,forum,B minor,D major,trance,http://geo-samples.beatport.com/lofi/1234752.LOFI.mp3,,
1257593,endo_a,B minor,Gb minor,tech-house,http://geo-samples.beatport.com/lofi/1257593.LOFI.mp3,Tracey Thorn,Why Does The Wind? (Michel Cleis Remix)
1298595,forum,F minor,F major,trance,http://geo-samples.beatport.com/lofi/1298595.LOFI.mp3,,
1316308,forum,G major,A minor,tech-house,http://geo-samples.beatport.com/lofi/1316308.LOFI.mp3,,
1353830,endo_a forum,D minor,A major,techno,http://geo-samples.beatport.com/lofi/1353830.LOFI.mp3,Johannes Heil,Seeded (Original Mix)
1356281,forum,Eb major,Eb major,progressive-house,http://geo-samples.beatport.com/lofi/1356281.LOFI.mp3,,
1389887,forum,Ab minor,A minor,techno,http://geo-samples.beatport.com/lofi/1389887.LOFI.mp3,,
1406309,endo_a,B minor,F major,deep-house,http://geo-samples.beatport.com/lofi/1406309.LOFI.mp3,Okain,Scream (Nina Kraviz Mix)
1415239,forum,C minor,C major,trance,http://geo-samples.beatport.com/lofi/1415239.LOFI.mp3,,
1442809,forum,Db minor,E major,chill-out,http://geo-samples.beatport.com/lofi/1442809.LOFI.mp3,,
1468437,endo_a,B minor,B minor,house,http://geo-samples.beatport.com/lofi/1468437.LOFI.mp3,Dennis Ferrer,The Red Room (Obj Vocal Mix)
1474122,endo_b,Ab major,Eb major,chill-out,http://geo-samples.beatport.com/lofi/1474122.LOFI.mp3,Cascada,Everytime We Touch (Yanou's Candlelight Mix)
1486770,endo_a,A minor,A minor,techno,http://geo-samples.beatport.com/lofi/1486770.LOFI.mp3,Kaiserdisco,Holding Up My Life (Original Mix)
1494159,endo_a,Eb minor,Db minor,progressive-house,http://geo-samples.beatport.com/lofi/1494159.LOFI.mp3,Morgan Page,The Longest Road feat. Lissie (Album Version)
1549964,endo_a,Db minor,Db minor,deep-house,http://geo-samples.beatport.com/lofi/1549964.LOFI.mp3,Thugfucker,Disco Gnome (Tale Of Us Remix)
1568217,endo_b,F major,F major,dj-tools,http://geo-samples.beatport.com/lofi/1568217.LOFI.mp3,Mobin Master,Show Me Love 2007 feat. Karina Chavez (Organ Acapella Tool 128 D)
1574723,endo_a forum,D minor,F major,tech-house,http://geo-samples.beatport.com/lofi/1574723.LOFI.mp3,Radio Slave,Let It Rain (Original Mix)
1575015,endo_a,A minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1575015.LOFI.mp3,Rasmus Faber,Never Figure Out (Stimming Remix)
1611446,forum,Ab minor,Ab minor,trance,http://geo-samples.beatport.com/lofi/1611446.LOFI.mp3,,
1614715,endo_a forum,Gb minor,A major,house,http://geo-samples.beatport.com/lofi/1614715.LOFI.mp3,Maceo Plex,Vibe Your Love (Original Mix)
1626779,forum,Bb minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1626779.LOFI.mp3,,
1650933,endo_a,Eb minor,Eb minor,tech-house,http://geo-samples.beatport.com/lofi/1650933.LOFI.mp3,Audiofly,Fela (Original Album Version)
1650934,endo_b,F minor,F major,tech-house,http://geo-samples.beatport.com/lofi/1650934.LOFI.mp3,Audiofly,Fela (Tiefschwarz Remix)
1652412,forum,D minor,Eb minor,tech-house,http://geo-samples.beatport.com/lofi/1652412.LOFI.mp3,,
1669939,endo_b,E major,E major,electronica,http://geo-samples.beatport.com/lofi/1669939.LOFI.mp3,"Orbital, Dan Mckie",Halycyon (Again) - Original Mix
1673811,forum,D major,F major,house,http://geo-samples.beatport.com/lofi/1673811.LOFI.mp3,,
1678455,forum,Gb minor,A minor,techno,http://geo-samples.beatport.com/lofi/1678455.LOFI.mp3,,
1681074,forum,F minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/1681074.LOFI.mp3,,
1681077,forum,Ab minor,B major,tech-house,http://geo-samples.beatport.com/lofi/1681077.LOFI.mp3,,
1681085,forum,F major,Eb minor,tech-house,http://geo-samples.beatport.com/lofi/1681085.LOFI.mp3,,
1682815,endo_a,C minor,C minor,tech-house,http://geo-samples.beatport.com/lofi/1682815.LOFI.mp3,Craig Torrance,The Thoroughfare (SIS Remix)
1690921,endo_a,D minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1690921.LOFI.mp3,Daniel Stefanik,The Silicon Garden (Original Mix)
1695408,endo_a,A minor,A minor,deep-house,http://geo-samples.beatport.com/lofi/1695408.LOFI.mp3,Francesco Bonora,Lady Paris (Original Mix)
1706844,endo_b,Eb major,Eb major,electronica,http://geo-samples.beatport.com/lofi/1706844.LOFI.mp3,The Chemical Brothers,Let Forever Be
1725800,forum,G minor,B minor,trance,http://geo-samples.beatport.com/lofi/1725800.LOFI.mp3,,
1757071,endo_a,E minor,E minor,house,http://geo-samples.beatport.com/lofi/1757071.LOFI.mp3,Piet Van Dongen,Vulcanic Ass (Audiofly Remix)
1763782,endo_a forum,Gb minor,Gb minor,progressive-house,http://geo-samples.beatport.com/lofi/1763782.LOFI.mp3,Moshic,Close To God (Original Mix)
1771576,endo_a,C minor,C minor,house,http://geo-samples.beatport.com/lofi/1771576.LOFI.mp3,Layo & Bushwacka!,Summer Gone (Original Mix)
1771577,endo_a forum,G minor,D major,tech-house,http://geo-samples.beatport.com/lofi/1771577.LOFI.mp3,Layo & Bushwacka!,What Do You Say Now (Original Mix)
1776378,endo_a forum,Ab minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1776378.LOFI.mp3,Mind Against,Space Thru Me (Original Mix)
1781139,endo_a,C minor,C minor,deep-house,http://geo-samples.beatport.com/lofi/1781139.LOFI.mp3,Simon Baker,Grey Area (Extended Mix)
1785226,endo_a,Gb minor,Gb minor,house,http://geo-samples.beatport.com/lofi/1785226.LOFI.mp3,Carlo Lio,Stuck In A Dream (Original Mix)
1787061,forum,Gb minor,Eb minor,dubstep,http://geo-samples.beatport.com/lofi/1787061.LOFI.mp3,,
1792026,endo_a,D minor,B minor,tech-house,http://geo-samples.beatport.com/lofi/1792026.LOFI.mp3,Guti,Patio De Juegos (Original Mix)
1792100,endo_a,C minor,C minor,tech-house,http://geo-samples.beatport.com/lofi/1792100.LOFI.mp3,Joris Voorn,Incident (Miyagi) (Original Mix)
1792506,endo_a,D minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/1792506.LOFI.mp3,Ruede Hagelstein,Corrosive Love (Alex Dolby & Santos Remix)
1795653,endo_a,Eb minor,Eb minor,tech-house,http://geo-samples.beatport.com/lofi/1795653.LOFI.mp3,Trentemoller,Shades Of Marble (Original Mix)
1796518,forum,Db minor,C minor,progressive-house,http://geo-samples.beatport.com/lofi/1796518.LOFI.mp3,,
1803909,endo_a,B minor,B minor,tech-house,http://geo-samples.beatport.com/lofi/1803909.LOFI.mp3,Nutia,Oil (Original Mix)
1808022,endo_a,Bb minor,Bb minor,tech-house,http://geo-samples.beatport.com/lofi/1808022.LOFI.mp3,Silicone Soul,"Right On, Right On (Nick Curly Remix)"
1809174,endo_b endo_a,A major,A major,house,http://geo-samples.beatport.com/lofi/1809174.LOFI.mp3,Vertigo,Mister Sandman (Bom Bom) - Analog People In A Digital World Remix
1814469,endo_a,F minor,F minor,tech-house,http://geo-samples.beatport.com/lofi/1814469.LOFI.mp3,Hermanez,Semitone (Original Mix)
1822087,endo_a forum,B minor,Bb minor,tech-house,http://geo-samples.beatport.com/lofi/1822087.LOFI.mp3,Lewis Ryder,Kaffee-Monster Schief Gegangen (Jamie Stevens Deep at Night Remix)
1822502,endo_a,D minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/1822502.LOFI.mp3,Gary Beck,Hands In Mine (Original Mix)
1837440,endo_a,B minor,B minor,tech-house,http://geo-samples.beatport.com/lofi/1837440.LOFI.mp3,Crimea X,10 PM (Florian Meindl Remix)
1850984,endo_a,A minor,A minor,deep-house,http://geo-samples.beatport.com/lofi/1850984.LOFI.mp3,Mousse T.,Toscana (Loco Dice Mix)
1856889,forum,Gb minor,Bb major,tech-house,http://geo-samples.beatport.com/lofi/1856889.LOFI.mp3,,
1864037,forum,Db minor,Db minor,electronica,http://geo-samples.beatport.com/lofi/1864037.LOFI.mp3,,
1880732,endo_a,Eb minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1880732.LOFI.mp3,Angel Moraes,Welcome To The Factory (Original Mix)
1904501,forum,C minor,D minor,deep-house,http://geo-samples.beatport.com/lofi/1904501.LOFI.mp3,,
1922470,forum,Eb minor,Gb major,deep-house,http://geo-samples.beatport.com/lofi/1922470.LOFI.mp3,,
1927655,endo_b,G minor,G minor,deep-house,http://geo-samples.beatport.com/lofi/1927655.LOFI.mp3,Guy Gerber,Hate Love 
1939732,endo_a,Eb minor,Eb minor,techno,http://geo-samples.beatport.com/lofi/1939732.LOFI.mp3,Emptyset,Altogether Lost feat. Cornelius Harris (Ripperton's Underground Kingdom Mix)
1944125,endo_a forum,C minor,C major,deep-house,http://geo-samples.beatport.com/lofi/1944125.LOFI.mp3,Helmut Dubnitzky,Move (Original Mix)
1948785,endo_a forum,E minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1948785.LOFI.mp3,Philip Bader,Hou!!! (Original Mix)
1949099,forum,E minor,B minor,dubstep,http://geo-samples.beatport.com/lofi/1949099.LOFI.mp3,,
1950170,endo_a forum,Bb minor,Bb major,deep-house,http://geo-samples.beatport.com/lofi/1950170.LOFI.mp3,Soul Camp,Walk With Me (Silicone Soul Remix)
1960032,forum,C minor,G minor,dubstep,http://geo-samples.beatport.com/lofi/1960032.LOFI.mp3,,
1964905,forum,A minor,Bb major,techno,http://geo-samples.beatport.com/lofi/1964905.LOFI.mp3,,
1970992,endo_a forum,Ab minor,Eb minor,deep-house,http://geo-samples.beatport.com/lofi/1970992.LOFI.mp3,Shlomi Aber,New York Dreamer (Alix Alvarez Remix)
1978917,endo_a forum,D minor,B minor,tech-house,http://geo-samples.beatport.com/lofi/1978917.LOFI.mp3,Bushwacka!,Energy (Original Mix)
1981501,endo_b,A minor,A minor,deep-house,http://geo-samples.beatport.com/lofi/1981501.LOFI.mp3,Larse,You Broke My Heart (Original Mix) CONYA RECORDS
1982269,endo_a,A minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1982269.LOFI.mp3,Carl Cox,Family Guy (Layo & Bushwacka! Deeper Remix)
1983975,endo_a,Gb minor,Gb minor,deep-house,http://geo-samples.beatport.com/lofi/1983975.LOFI.mp3,Pol_On,Will Dance With You (Of Norway Version)
1984204,forum,F minor,F major,house,http://geo-samples.beatport.com/lofi/1984204.LOFI.mp3,,
1986370,forum,Eb minor,Bb minor,tech-house,http://geo-samples.beatport.com/lofi/1986370.LOFI.mp3,,
1990297,endo_a,A minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/1990297.LOFI.mp3,SIS,Cast Out Of Paradise feat. Anji Bee (Original Mix)
1991458,forum,B minor,B major,indie-dance nu-disco,http://geo-samples.beatport.com/lofi/1991458.LOFI.mp3,,
2006103,endo_a,Db minor,Db minor,deep-house,http://geo-samples.beatport.com/lofi/2006103.LOFI.mp3,Diskjokke,Maneter (Original Mix)
2007977,forum,Db minor,Ab minor,progressive-house,http://geo-samples.beatport.com/lofi/2007977.LOFI.mp3,,
2014445,endo_a forum,Eb minor,Bb minor,tech-house,http://geo-samples.beatport.com/lofi/2014445.LOFI.mp3,DJ T.,City Life feat. Cari Golden (Maya Jane Coles Remix)
2018991,forum,C minor,C major,progressive-house,http://geo-samples.beatport.com/lofi/2018991.LOFI.mp3,,
2024026,endo_b,G major,G major,pop rock,http://geo-samples.beatport.com/lofi/2024026.LOFI.mp3,Beth Orton,Central Reservation 
2025670,forum,C minor,F major,tech-house,http://geo-samples.beatport.com/lofi/2025670.LOFI.mp3,,
2026524,forum,Eb minor,Bb minor,trance,http://geo-samples.beatport.com/lofi/2026524.LOFI.mp3,,
2029598,forum,E minor,A major,progressive-house,http://geo-samples.beatport.com/lofi/2029598.LOFI.mp3,,
2031094,endo_a,A minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/2031094.LOFI.mp3,Audiofly,6 Degrees feat. Fiora (Booka Shade Remix)
2031096,endo_a,A minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/2031096.LOFI.mp3,Audiofly,6 Degrees feat. Fiora (Original Mix)
2046342,endo_b,E minor,Bb minor,deep-house,http://geo-samples.beatport.com/lofi/2046342.LOFI.mp3,Lucky Paul,Thought We Were Alone feat. Milosh (Gadi Mizrahi & Eli Gold Remix)
2047796,forum,D minor,C major,drum-and-bass,http://geo-samples.beatport.com/lofi/2047796.LOFI.mp3,,
2048054,endo_a,C minor,C minor,house,http://geo-samples.beatport.com/lofi/2048054.LOFI.mp3,Jay Haze,I Wait for You feat. Laila Tov (Original Mix)
2048940,forum,G minor,D minor,electro-house,http://geo-samples.beatport.com/lofi/2048940.LOFI.mp3,,
2049680,endo_a,F minor,F minor,deep-house,http://geo-samples.beatport.com/lofi/2049680.LOFI.mp3,Ray Foxx,The Trumpeter (Guti Remix)
2051166,endo_a,E minor,E minor,tech-house,http://geo-samples.beatport.com/lofi/2051166.LOFI.mp3,Marco Lys,Go (Original Mix)
